 YAngle (deg)	Real Height	Ref. Height		Distortion(f-tanθ）	
0,0,0,0
0.1,0.0050939,0.005103,-0.00011259
0.2,0.0101878,0.010207,-0.00048478
0.3,0.01528168,0.01531,-0.00111808
0.4,0.02037554,0.020414,-0.00201222
0.5,0.02546936,0.025518,-0.00316747
0.6,0.03056314,0.030622,-0.0045836
0.7,0.03565687,0.035726,-0.0062606
0.8,0.04075054,0.04083,-0.00819849
0.9,0.04584414,0.045934,-0.01039725
1,0.05093766,0.051039,-0.01285689
1.1,0.0560311,0.056144,-0.0155774
1.2,0.06112444,0.06125,-0.01855878
1.3,0.06621768,0.066356,-0.02180104
1.4,0.07131081,0.071462,-0.02530418
1.5,0.07640381,0.076569,-0.02906818
1.6,0.08149668,0.081676,-0.03309305
1.7,0.08658941,0.086783,-0.03737879
1.8,0.091682,0.091891,-0.04192539
1.9,0.09677442,0.097,-0.04673286
2,0.10186669,0.10211,-0.05180119
2.1,0.10695877,0.107219,-0.05713037
2.2,0.11205068,0.11233,-0.06272042
2.3,0.11714239,0.117441,-0.06857132
2.4,0.1222339,0.122553,-0.07468307
2.5,0.12732519,0.127666,-0.08105567
2.6,0.13241627,0.13278,-0.08768912
2.7,0.13750713,0.137894,-0.09458341
2.8,0.14259774,0.143009,-0.10173854
2.9,0.14768811,0.148125,-0.10915451
3,0.15277823,0.153242,-0.11683131
3.1,0.15786808,0.15836,-0.12476894
3.2,0.16295766,0.163479,-0.13296735
3.3,0.16804696,0.168599,-0.14142662
3.4,0.17313597,0.17372,-0.15014672
3.5,0.17822468,0.178842,-0.15912762
3.6,0.18331309,0.183965,-0.16836934
3.7,0.18840117,0.189089,-0.17787186
3.8,0.19348894,0.194214,-0.18763518
3.9,0.19857637,0.199341,-0.1976593
4,0.20366345,0.204468,-0.20794421
4.1,0.20875019,0.209597,-0.2184899
4.2,0.21383656,0.214728,-0.22929638
4.3,0.21892256,0.219859,-0.24036363
4.4,0.22400819,0.224992,-0.25169165
4.5,0.22909343,0.230127,-0.26328044
4.6,0.23417827,0.235262,-0.27512998
4.7,0.23926271,0.240399,-0.28724028
4.8,0.24434674,0.245538,-0.29961133
4.9,0.24943034,0.250678,-0.31224311
5,0.25451351,0.25582,-0.32513563
5.1,0.25959624,0.260963,-0.33828888
5.2,0.26467852,0.266108,-0.35170285
5.3,0.26976034,0.271255,-0.36537754
5.4,0.2748417,0.276403,-0.37931294
5.5,0.27992258,0.281553,-0.39350903
5.6,0.28500298,0.286704,-0.40796582
5.7,0.29008288,0.291857,-0.4226833
5.8,0.29516228,0.297013,-0.43766146
5.9,0.30024117,0.30217,-0.45290029
6,0.30531954,0.307328,-0.46839979
6.1,0.31039739,0.312489,-0.48415994
6.2,0.31547469,0.317652,-0.50018074
